trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-03-24,000006.SZ,深振业Ａ,6.48,区域地产,-4.14,19.018,10.89,24.25,1.79,1.96,0,0.0,0.0,7.57,0.93,1.07,1,1.0,0.0,0,0,0,-0.0827,-1.2762,342.98,5.73,2,-14.28
2025-08-04,000006.SZ,深振业Ａ,6.16,区域地产,0.16,19.551,4.327,23.36,1.72,1.66,0,0.0,0.0,11.26,1.38,1.33,0,0.0,0.0,-1,-3,-3,-0.0921,-1.4951,333.07,-10.37,-2,-2.25
2025-04-17,000007.SZ,全新好,6.08,其他商业,1.67,16.234,7.468,34.5,3.11,3.34,0,0.0,0.0,18.33,2.73,3.09,0,0.0,0.0,0,0,0,-0.107,-1.7599,676.76,2.46,9,48.77
2025-04-01,000008.SZ,神州高铁,2.57,运输设备,0.39,20.0,7.843,25.41,3.07,2.74,0,0.0,0.0,28.52,4.94,4.42,0,0.0,0.0,0,-7,-7,-0.0549,-2.1362,235.26,-8.05,-3,-21.37
2025-01-03,000010.SZ,美丽生态,2.64,建筑工程,-2.58,15.909,12.121,44.72,3.5,3.57,0,0.0,0.0,47.59,5.72,5.48,-1,0.0,-1.0,0,0,-2,-0.0665,-2.5189,272.62,5.52,1,-21.64
2025-07-02,000010.SZ,美丽生态,2.98,建筑工程,0.68,21.07,0.0,28.57,2.24,2.27,0,0.0,0.0,16.46,1.98,1.93,0,0.0,0.0,0,0,0,0.003,0.1007,348.47,-1.73,-1,4.95
2025-07-28,000010.SZ,美丽生态,3.46,建筑工程,1.76,18.497,9.249,45.91,3.59,3.91,0,0.0,0.0,31.34,3.77,4.33,0,0.0,0.0,1,0,0,0.1018,2.9422,587.2,-6.85,-6,-47.95
2025-08-04,000011.SZ,深物业A,8.48,房产服务,0.0,23.185,1.756,8.02,0.68,0.74,7,7.0,3.0,6.64,0.86,0.85,3,3.0,0.0,0,0,0,0.0012,0.0142,400.35,-0.9,0,2.24
2025-03-05,000014.SZ,沙河股份,9.92,全国地产,-1.98,15.263,8.523,35.56,2.92,2.97,0,0.0,0.0,9.54,1.09,0.94,0,11.0,0.0,0,-1,-1,-0.1435,-1.4466,387.44,0.02,0,7.12
2025-08-05,000014.SZ,沙河股份,12.55,全国地产,1.78,20.803,4.016,19.17,1.57,1.63,0,0.0,0.0,9.49,1.08,1.22,0,0.0,0.0,2,0,0,0.1575,1.255,363.27,-3.48,-1,12.72
2025-02-19,000016.SZ,深康佳Ａ,4.86,家用电器,1.89,16.769,9.611,37.94,2.97,3.23,0,0.0,0.0,34.54,3.73,4.08,0,0.0,0.0,0,0,0,-0.1359,-2.7963,285.9,-4.88,-4,-7.07
2025-04-03,000016.SZ,深康佳Ａ,4.55,家用电器,0.0,28.78,13.171,56.49,4.42,4.1,0,0.0,0.0,55.39,5.98,5.61,-1,0.0,-1.0,-4,-8,-8,-0.2006,-4.4088,190.81,3.59,1,-10.91
2025-04-23,000016.SZ,深康佳Ａ,4.89,家用电器,-0.61,16.042,3.125,24.12,1.89,2.15,0,0.0,0.0,25.03,2.7,3.07,0,0.0,0.0,0,0,0,-0.001,-0.0204,342.85,-19.05,-3,-33.4
2025-06-10,000020.SZ,深华发Ａ,12.7,元器件,-1.17,19.089,-1.571,18.94,1.43,1.27,0,4.0,0.0,16.42,1.95,1.77,0,0.0,0.0,3,2,4,0.2033,1.6008,656.59,42.65,2,30.9
2025-04-09,000025.SZ,特  力Ａ,15.18,综合类,0.33,22.599,1.344,12.64,1.27,1.85,0,0.0,0.0,7.54,1.15,2.09,0,0.0,0.0,0,-1,-1,-0.0223,-0.1469,786.48,-9.3,-1,50.18
2025-04-29,000026.SZ,飞亚达,10.02,服饰,1.42,18.952,3.427,15.93,1.13,1.14,0,0.0,0.0,14.36,1.67,1.78,0,0.0,0.0,-1,0,0,-0.1175,-1.1727,303.04,2.1,1,3.45
2025-05-14,000026.SZ,飞亚达,11.31,服饰,0.09,16.743,16.011,36.24,2.56,2.08,0,1.0,0.0,40.79,4.74,3.82,-1,0.0,-1.0,0,3,3,0.254,2.2458,1154.43,19.8,9,136.64
2025-06-19,000026.SZ,飞亚达,11.46,服饰,-2.47,27.822,5.6,52.34,3.7,3.79,0,0.0,-17.0,42.23,4.91,4.6,-1,0.0,-1.0,0,0,0,-0.0335,-0.2923,259.21,-5.12,-5,-37.08
2025-08-04,000026.SZ,飞亚达,17.67,服饰,7.42,26.415,4.481,68.22,4.82,5.14,-25,-21.0,-25.0,18.17,2.11,2.93,0,0.0,-22.0,0,0,0,0.5935,3.3588,300.02,2.66,2,-10.41
2025-08-12,000029.SZ,深深房Ａ,22.58,区域地产,5.27,15.125,7.102,37.89,3.72,3.01,0,8.0,0.0,38.38,4.58,3.7,0,0.0,0.0,4,7,7,0.6206,2.7484,463.14,7.45,7,32.83
2025-04-15,000030.SZ,富奥股份,5.08,汽车配件,0.59,15.05,11.287,46.11,3.27,3.33,0,0.0,0.0,52.85,5.73,5.79,-4,0.0,-4.0,0,0,0,-0.1662,-3.2717,411.69,-5.21,-1,18.96
2025-04-03,000031.SZ,大悦城,2.68,全国地产,1.52,17.012,9.129,14.83,1.28,1.25,0,0.0,0.0,10.96,1.56,1.43,0,0.0,0.0,-3,-5,-5,-0.0296,-1.1045,285.84,-1.5,-6,-22.2
2025-01-23,000032.SZ,深桑达Ａ,16.15,建筑工程,0.31,20.204,6.013,46.97,2.1,2.18,0,0.0,0.0,22.99,1.69,1.92,0,0.0,0.0,0,0,0,-0.4317,-2.6731,273.45,6.51,1,-0.0
2025-02-05,000032.SZ,深桑达Ａ,16.95,建筑工程,4.63,22.859,14.407,40.14,1.79,1.88,0,0.0,0.0,13.99,1.03,1.2,0,0.0,0.0,0,0,0,-0.2565,-1.5133,377.68,13.09,4,34.09
2025-02-14,000032.SZ,深桑达Ａ,23.83,建筑工程,10.02,23.581,2.104,88.38,3.95,3.29,-1,0.0,-1.0,97.06,7.11,5.94,-3,0.0,-3.0,0,1,5,1.2401,5.2039,1024.77,7.91,11,87.88
2025-04-07,000032.SZ,深桑达Ａ,20.85,建筑工程,-10.01,15.057,9.865,56.06,2.5,2.62,0,0.0,0.0,53.3,3.91,3.84,0,0.0,0.0,0,0,-1,-0.5574,-2.6734,275.95,7.55,3,32.28
2025-07-25,000032.SZ,深桑达Ａ,23.17,建筑工程,6.19,18.559,2.69,28.52,1.27,1.12,0,15.0,0.0,30.44,2.23,2.02,0,0.0,0.0,0,1,13,0.5258,2.2693,498.45,13.46,2,-7.68
2025-08-20,000032.SZ,深桑达Ａ,24.84,建筑工程,-1.31,15.988,5.855,56.6,2.53,2.57,0,0.0,0.0,29.47,2.16,2.34,0,0.0,0.0,1,0,0,0.8642,3.4791,414.18,-0.48,0,-16.75
2025-01-22,000034.SZ,神州数码,33.01,软件服务,-0.12,22.126,6.934,24.88,1.49,1.64,0,0.0,0.0,17.1,1.39,1.69,0,0.0,0.0,0,0,0,-0.4032,-1.2214,296.62,-0.86,0,6.29
2025-02-05,000034.SZ,神州数码,34.7,软件服务,7.07,32.787,20.544,19.57,1.18,1.24,0,0.0,0.0,13.03,1.06,1.03,0,2.0,0.0,0,0,0,-0.0762,-0.2196,436.44,14.85,3,25.28
2025-04-23,000034.SZ,神州数码,37.18,软件服务,1.25,16.91,5.123,73.76,4.43,4.55,-11,-7.0,-11.0,49.84,4.06,4.59,0,0.0,-17.0,0,0,0,-2.0145,-5.4182,311.08,1.73,2,-11.75
2025-02-21,000036.SZ,华联控股,3.89,全国地产,-1.02,15.486,2.362,46.94,3.68,3.8,0,0.0,-93.0,9.71,1.39,1.31,0,0.0,0.0,0,-2,-2,-0.0635,-1.6324,389.77,-4.74,-3,-10.29
2025-06-27,000037.SZ,深南电A,8.53,火力发电,-0.23,23.364,1.986,22.39,1.44,1.53,0,0.0,0.0,19.86,1.9,1.91,0,1.0,0.0,0,0,0,-0.0366,-0.4291,229.95,-13.55,-6,-63.95
2025-01-22,000042.SZ,中洲控股,4.47,全国地产,-1.54,25.397,12.018,60.23,6.12,6.47,-14,-10.0,-14.0,40.32,5.9,6.71,0,0.0,-16.0,0,0,0,-0.1596,-3.5705,380.38,6.66,8,31.45
2025-02-05,000042.SZ,中洲控股,4.94,全国地产,1.44,21.471,12.525,45.03,4.57,4.99,0,0.0,-15.0,22.86,3.35,3.82,0,0.0,0.0,0,0,0,-0.0483,-0.9777,533.32,7.94,12,41.0
2025-07-02,000042.SZ,中洲控股,7.11,全国地产,0.0,15.126,11.485,15.66,1.59,1.64,0,0.0,0.0,11.41,1.67,1.72,0,11.0,0.0,4,6,6,0.0716,1.007,296.24,-9.87,-2,2.74
2025-03-21,000048.SZ,京基智农,14.88,农业综合,-2.11,15.343,13.306,23.46,1.94,2.07,0,0.0,0.0,20.88,2.59,2.82,0,0.0,0.0,0,0,0,0.0437,0.2937,353.18,-6.71,-6,-50.6
2025-01-23,000056.SZ,皇庭国际,2.61,其他商业,-1.14,18.919,5.405,56.23,2.88,2.94,0,0.0,0.0,45.27,3.49,3.8,0,0.0,-12.0,0,0,0,-0.1108,-4.2452,285.29,-3.92,-2,9.88
2025-02-05,000056.SZ,皇庭国际,2.66,其他商业,4.31,24.176,16.85,58.35,2.99,2.96,0,0.0,0.0,40.64,3.13,3.27,0,0.0,0.0,0,-1,-1,-0.1097,-4.1241,238.19,-4.37,-5,-23.06
2025-02-24,000056.SZ,皇庭国际,3.22,其他商业,-1.23,22.713,1.577,58.16,2.98,3.12,0,0.0,0.0,66.09,5.09,5.33,-7,-3.0,-7.0,0,0,0,0.1229,3.8168,385.79,-9.09,-5,-38.04
2025-02-21,000058.SZ,深 赛 格,8.03,商品城,-0.25,15.394,10.889,27.19,2.06,2.13,0,0.0,0.0,17.32,1.87,2.02,0,0.0,0.0,0,0,0,0.0087,0.1083,314.45,0.29,0,-11.24
2025-08-20,000061.SZ,农 产 品,6.85,农业综合,1.93,23.066,1.606,12.37,1.32,1.32,0,0.0,0.0,9.27,1.39,1.42,0,0.0,0.0,9,7,7,0.0656,0.9577,487.19,-2.16,-1,16.31
