trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-03-27,000002.SZ,万  科Ａ,7.17,全国地产,-0.42,-1.124,-7.303,16.56,1.19,1.12,0,13.0,0.0,18.91,2.08,1.9,0,0.0,0.0,0,-4,-4,-0.0895,-1.2483,271.26,1.74,1,0.57
2025-01-17,000006.SZ,深振业Ａ,6.8,区域地产,-1.02,-8.021,-9.492,90.33,6.65,6.69,-10,-6.0,-10.0,69.36,8.52,9.02,-13,-9.0,-13.0,-8,-3,-16,-0.4305,-6.3309,255.79,-0.29,0,-8.31
2025-02-11,000006.SZ,深振业Ａ,7.04,区域地产,-3.3,-1.667,-7.222,58.98,4.34,4.53,-21,-17.0,-21.0,13.05,1.6,2.28,0,0.0,0.0,0,0,0,-0.1833,-2.6037,339.66,-1.89,-5,-35.81
2025-03-27,000006.SZ,深振业Ａ,7.44,区域地产,10.06,-9.021,-19.201,16.16,1.19,1.4,0,0.0,0.0,12.12,1.49,1.11,0,3.0,0.0,0,0,0,0.0118,0.1586,556.42,23.85,5,49.9
2025-05-26,000006.SZ,深振业Ａ,6.89,区域地产,1.92,-4.282,-6.906,21.7,1.6,1.6,0,0.0,0.0,24.14,2.96,2.99,0,0.0,0.0,0,3,3,0.0986,1.4311,486.03,-6.31,-1,37.13
2025-06-11,000006.SZ,深振业Ａ,6.98,区域地产,2.5,-2.71,-6.562,15.49,1.14,1.2,0,0.0,0.0,11.42,1.4,1.61,0,0.0,0.0,0,0,0,0.0768,1.1003,308.54,12.7,1,-24.41
2025-06-24,000006.SZ,深振业Ａ,6.8,区域地产,2.41,-5.702,-7.456,11.57,0.85,0.86,5,5.0,1.0,9.46,1.16,1.09,0,4.0,0.0,0,0,0,0.0049,0.0721,284.76,3.24,1,-23.13
2025-08-18,000006.SZ,深振业Ａ,7.7,区域地产,5.05,-6.997,-7.125,54.69,4.03,3.46,0,0.0,0.0,60.21,7.39,6.37,-3,0.0,-3.0,0,6,6,0.2632,3.4182,954.91,2.0,8,76.42
2025-03-27,000007.SZ,全新好,6.35,其他商业,-0.16,-0.968,-10.0,27.71,2.5,2.53,0,0.0,0.0,12.42,1.85,1.97,0,0.0,0.0,-4,0,0,-0.1002,-1.578,532.81,9.3,3,21.22
2025-06-11,000007.SZ,全新好,8.25,其他商业,1.98,-3.056,-7.702,71.9,6.48,6.54,-7,-3.0,-7.0,39.23,5.85,6.17,0,0.0,0.0,20,7,7,0.3632,4.4024,355.95,-2.28,-1,14.86
2025-02-25,000008.SZ,神州高铁,2.9,运输设备,-0.68,-5.387,-7.071,30.7,3.71,3.45,0,0.0,0.0,33.97,5.89,5.2,-1,0.0,-1.0,0,2,2,0.0406,1.4,595.89,3.98,5,59.59
2025-03-20,000008.SZ,神州高铁,2.82,运输设备,1.08,-2.888,-6.859,4.71,0.57,0.65,6,6.0,2.0,4.15,0.72,0.92,2,2.0,0.0,0,0,0,0.0053,0.1879,292.42,-1.61,-2,5.58
2025-04-09,000008.SZ,神州高铁,2.89,运输设备,5.09,-4.902,-9.15,12.94,1.57,2.12,0,0.0,0.0,14.21,2.46,3.32,0,0.0,-1.0,0,0,0,-0.0195,-0.6747,787.92,28.05,4,108.34
2025-03-27,000009.SZ,中国宝安,8.4,电气设备,-0.71,-1.448,-11.46,10.98,0.68,0.67,18,18.0,14.0,9.78,1.04,1.0,0,18.0,0.0,-5,-5,-5,-0.0704,-0.8381,324.67,0.2,0,-0.47
2025-01-13,000010.SZ,美丽生态,3.06,建筑工程,2.68,-5.732,-7.006,24.51,1.92,2.14,0,0.0,0.0,26.09,3.14,3.57,0,0.0,0.0,0,0,0,-0.0053,-0.1732,426.82,6.87,7,39.55
2025-03-21,000010.SZ,美丽生态,3.1,建筑工程,0.98,-2.606,-6.84,20.67,1.62,1.32,0,26.0,0.0,18.82,2.26,1.85,0,11.0,0.0,4,0,5,0.0415,1.3387,482.13,3.45,8,34.94
2025-03-31,000010.SZ,美丽生态,2.86,建筑工程,-2.05,-9.609,-12.1,12.64,0.99,1.22,1,1.0,0.0,10.08,1.21,1.53,0,0.0,0.0,0,0,-1,0.0133,0.465,346.81,-7.36,-3,-18.68
2025-06-10,000010.SZ,美丽生态,3.27,建筑工程,-0.61,-4.268,-7.012,47.41,3.71,3.24,0,0.0,0.0,43.11,5.18,4.58,0,0.0,0.0,3,6,8,0.1163,3.5566,597.86,8.11,7,39.01
2025-07-09,000010.SZ,美丽生态,3.29,建筑工程,10.03,3.039,-9.945,22.19,1.74,1.79,0,0.0,0.0,5.68,0.68,1.05,1,1.0,0.0,0,0,0,0.0219,0.6657,380.55,11.36,1,-0.85
2025-08-08,000010.SZ,美丽生态,4.64,建筑工程,9.95,-8.627,-12.941,96.01,7.51,6.61,-3,0.0,-3.0,78.19,9.4,8.0,-3,0.0,-3.0,10,7,7,0.2714,5.8491,535.61,-2.2,-1,43.75
2025-08-25,000010.SZ,美丽生态,4.84,建筑工程,3.42,-1.848,-9.035,108.73,8.51,8.71,-14,-10.0,-14.0,70.12,8.43,8.89,-14,-10.0,-14.0,1,4,4,0.3275,6.7665,240.34,-8.76,-6,-75.15
2025-03-27,000011.SZ,深物业A,8.52,房产服务,1.07,0.596,-8.462,3.84,0.33,0.34,10,10.0,6.0,4.43,0.57,0.57,29,29.0,25.0,0,0,0,0.0138,0.162,465.59,17.22,2,6.17
2025-08-13,000011.SZ,深物业A,10.13,房产服务,-3.71,-1.068,-7.67,36.35,3.09,2.22,0,12.0,0.0,34.55,4.46,3.14,0,3.0,0.0,2,3,3,0.276,2.7246,1175.11,29.1,4,92.58
